Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,United Arab Emirates,ARE,67119.1326374303
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,United Kingdom,GBR,46658.5453933285
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,United States,USA,62530.389594961
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Uruguay,URY,21561.0620546242
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Uzbekistan,UZB,6998.70505055836
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Vanuatu,VUT,3153.01516775842
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,"Venezuela, RB",VEN,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Vietnam,VNM,8041.17855081878
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Virgin Islands (U.S.),VIR,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,West Bank and Gaza,PSE,6219.96029066478
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,"Yemen, Rep.",YEM,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Zambia,ZMB,3470.44880092874
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Zimbabwe,ZWE,2835.94853189544
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Arab World,ARB,14602.9382140106
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Caribbean small states,CSS,15849.4795313477
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Central Europe and the Baltics,CEB,32710.0496147966
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Early-demographic dividend,EAR,9530.91330599796
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,East Asia & Pacific,EAS,17723.8103865702
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,East Asia & Pacific (excluding high income),EAP,14433.0965540443
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,East Asia & Pacific (IDA & IBRD countries),TEA,14584.5937540991
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Euro area,EMU,47066.4574297473
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Europe & Central Asia,ECS,35257.6549169608
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Europe & Central Asia (excluding high income),ECA,21673.9389364699
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Europe & Central Asia (IDA & IBRD countries),TEC,23034.7159765152
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,European Union,EUU,44435.95599019
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Fragile and conflict affected situations,FCS,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Heavily indebted poor countries (HIPC),HPC,2550.01345115011
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,High income,HIC,49899.4280301864
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,IBRD only,IBD,13484.9015768387
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,IDA & IBRD total,IBT,10989.3110564421
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,IDA blend,IDB,4864.8316650676
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,IDA only,IDX,3375.05715277973
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,IDA total,IDA,3866.8478836737
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Late-demographic dividend,LTE,17419.27949666
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Latin America & Caribbean,LCN,16355.7741466797
